,Title,Budget,Revenue,Rating
6862,Strawberry & Chocolate,,"$2,087,569",7.4
6863,Nowitzki: The Perfect Shot,,"$619,517",7.5
6864,The Danish Girl,"$15,000,000 (estimated)","$64,191,523",7.1
6865,The Crown and the Dragon,,,3.8
6866,The Grudge 2,"$20,000,000 (estimated)","$70,711,175",5.0
6867,Hot Dog... The Movie,,"$20,307,325",5.0
6868,Strange Bedfellows,,"$3,481,387",6.2
6869,Franklyn,"$12,000,000 (estimated)","$1,279,576",6.0
6870,Is Anybody There?,,"$3,368,300",6.6
6871,"Now You See Him, Now You Don't",,,6.2
6872,Zoolander 2,"$50,000,000 (estimated)","$56,722,693",4.7
6873,All Dogs Go to Heaven,"$13,800,000 (estimated)","$27,100,027",6.7
6874,Abbott and Costello in the Foreign Legion,"$735,000 (estimated)",,6.3
6875,Screamers,"$20,000,000 (estimated)","$5,711,695",6.3
6876,Long Time Dead,,"$22,667,193",4.7
6877,My Dead Friend Zoe,,,8.3
6878,Aakhree Raasta,,,7.1
6879,Paprika,,,5.5
6880,The Elephant Man,"$5,000,000 (estimated)","$26,028,672",8.2
6881,Traffik,"$4,000,000 (estimated)","$9,515,914",5.9
6882,Going Clear: Scientology & the Prison of Belief,,"$230,194",8.0
6883,Shadow of the Thin Man,"$821,000 (estimated)",,7.2
6884,Kong Curling,"NOK 16,100,000 (estimated)","$2,590,137",6.1
6885,The Plague Dogs,,,7.7
6886,A Haunted House,"$2,500,000 (estimated)","$60,159,584",5.0
6887,High Strung,,"$2,093,725",6.3
6888,We All Loved Each Other So Much,,"$117,948",8.0
6889,The Secret World of Arrietty,"$23,000,000 (estimated)","$149,660,003",7.6
6890,Riding in Darkness (TV Series ,,,7.6
6891,The Big Gay Musical,,"$24,140",6.5
6892,Extreme Movie,,"$54,822",3.7
6893,The Pale Blue Eye,"$72,000,000 (estimated)",,6.6
6894,Moving Violations,,"$10,627,754",5.7
6895,Bhaag Milkha Bhaag,"₹410,000,000 (estimated)","$17,551,296",8.2
6896,The Love Guru,"$62,000,000 (estimated)","$40,877,556",3.8
6897,Nine Dead,"$2,000,000 (estimated)",,5.4
6898,Hunt to Kill,"$2,300,000 (estimated)","$160,867",5.1
6899,Too Many Husbands,,,6.4
6900,I Really Hate My Job,,"$26,763",5.1
6901,The Do-Over,,,5.7
6902,1408,"$25,000,000 (estimated)","$132,963,417",6.8
6903,Keeping Up with the Kardashians (TV Series 200,,,2.9
6904,Meg 2: The Trench,"$129,000,000 (estimated)","$397,700,317",5.0
6905,The Simpsons Movie,"$75,000,000 (estimated)","$536,414,293",7.3
6906,Mischief Night,,,4.6
6907,Kingdom of the Planet of the Apes,,,
6908,Mississippi Mermaid,"$1,600,000 (estimated)","$33,725",6.9
6909,Micmacs,"$42,000,000 (estimated)","$16,979,882",7.1
6910,Night Watch,"$4,200,000 (estimated)","$50,336,279",6.4
6911,4 for Texas,"$4,520,000 (estimated)",,5.5
6912,The Watcher in the Woods,,"$5,000,000",6.1
6913,Two Men in Town,,,7.3
6914,Jason Bourne,"$120,000,000 (estimated)","$415,484,914",6.6
6915,The Chronicles of Riddick,"$105,000,000 (estimated)","$115,900,534",6.6
6916,Romantics Anonymous,,"$458,803",6.8
6917,Brick,"$475,000 (estimated)","$3,947,579",7.1
6918,Playing It Cool,,"$1,323,415",5.9
6919,Karan Arjun,,,6.8
6920,Step Up 2: The Streets,"$17,500,000 (estimated)","$150,988,382",6.2
6921,Varuthapadatha valibar sangam,"₹60,000,000 (estimated)",,6.9
6922,Heartbreak Ridge,"$15,000,000 (estimated)","$42,724,017",6.8
6923,The Caveman's Valentine,"$13,500,000 (estimated)","$794,481",5.8
6924,Roadside Romeo,,"$1,978,021",4.8
6925,American Teen,,"$1,130,270",6.4
6926,Down Periscope,"$31,000,000 (estimated)","$37,553,752",6.2
6927,The House Bunny,"$25,000,000 (estimated)","$70,439,696",5.5
6928,Death Wish 3,"$9,000,000 (estimated)","$16,116,878",5.8
6929,The Mysteries of Pittsburgh,,"$80,283",5.4
6930,The Hundred-Foot Journey,"$22,000,000 (estimated)","$89,514,502",7.3
6931,My Little Pony: A New Generation,,"$1,382,366",6.8
6932,Pitbull: Tough Women,,"$15,118,739",5.6
6933,Heartbreak High (TV Series ,,,7.7
6934,The Iceman,"$10,000,000 (estimated)","$4,552,970",6.8
6935,5 Centimeters per Second,"$5,000,000 (estimated)","$542,146",7.5
6936,American Ultra,"$28,000,000 (estimated)","$27,262,374",6.1
6937,Virus,"$75,000,000 (estimated)","$30,657,854",5.0
6938,Aan: Men at Work,,"$35,748",5.8
6939,Sucker Punch,"$82,000,000 (estimated)","$89,792,502",6.1
6940,Miami Supercops,,,6.1
6941,The Swimmers,,,7.4
6942,Blade Runner 2049,"$150,000,000 (estimated)","$267,691,236",8.0
6943,New Kids Turbo,"€1,500,000 (estimated)","$18,261,046",6.4
6944,Wanderlust,,"$23,812,816",5.6
6945,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"$1,800,000 (estimated)","$9,529,170",8.4
6946,Enter Nowhere,"$500,000 (estimated)",,6.5
6947,Tentacles,"$5,000,000 (estimated)",,3.7
6948,Producing Adults,"€1,200,000 (estimated)","$474,752",6.1
6949,Good Ol' Freda,,"$138,811",7.4
6950,True Romance,"$13,000,000 (estimated)","$13,088,850",7.9
6951,Transformers One,,,
6952,Hailey Dean Mystery (TV Series 201,,,7.3
6953,A Tight Spot,,,8.2
6954,Brute Force,,,7.6
6955,Next Stop Paradise,,,7.8
6956,The Smell of Success,"$9,600,000 (estimated)",,5.2
6957,The Wandering Earth II,"CN¥900,000,000 (estimated)","$8,854,786",6.8
6958,Grey's Anatomy (TV Series ,,,7.6
6959,The Proposition,"$20,000,000 (estimated)","$5,048,893",7.3
6960,Le Week-End,"$10,000,000 (estimated)","$8,652,213",6.4
6961,The Philadelphia Experiment,"$6,400,000 (estimated)","$8,103,330",6.1
6962,Mister Roberts,,,7.6
6963,Life During Wartime,"$4,500,000 (estimated)","$807,162",6.4
6964,Eat the Rich: The GameStop Saga (TV Mini Serie,,,6.3
6965,9½ Weeks,"$17,000,000 (estimated)","$6,735,922",5.9
6966,Bullhead,"€2,000,000 (estimated)","$4,483,147",7.3
6967,Fantastic Beasts and Where to Find Them,"$180,000,000 (estimated)","$816,037,575",7.2
6968,Margarita with a Straw,"$850,000 (estimated)",,7.2
6969,Irreconcilable Differences,"$6,000,000 (estimated)","$12,414,210",5.8
6970,Glass Jaw,,"$7,426",5.2
6971,Only Lovers Left Alive,"$7,000,000 (estimated)","$7,674,607",7.2
6972,Jack Strong,,"$7,002,827",7.0
6973,Assa,,"$67,169",7.6
6974,Holy Smoke,"$15,000,000 (estimated)","$1,765,545",5.9
6975,An Angel at My Table,,"$1,055,995",7.4
6976,Starlet,,"$146,222",6.9
6977,Killing Cabos,"MX$25,000,000 (estimated)","$5,653,093",7.4
6978,Rough Night,"$20,000,000 (estimated)","$47,347,283",5.2
6979,Death at Oslo Central,,,6.1
6980,Sawdust and Tinsel,,,7.4
6981,Death to Smoochy,"$50,000,000 (estimated)","$8,382,938",6.3
6982,The Vanishing,,,7.7
6983,Bagdad Cafe,,"$3,732,660",7.4
6984,The Vault,,"$8,803,864",6.4
6985,Extraordinary Measures,"$31,000,000 (estimated)","$15,134,293",6.4
6986,Kafka (TV Mini Series ,,,7.4
6987,The Happiest Millionaire,,,6.5
6988,Night of the Wolf,,,6.0
6989,Trading Places,"$15,000,000 (estimated)","$90,404,800",7.5
6990,If You Are the One 3,,"$40,976",5.5
6991,Thor: Ragnarok,"$180,000,000 (estimated)","$855,301,806",7.9
6992,Kubo and the Two Strings,"$60,000,000 (estimated)","$76,249,438",7.7
6993,Once a Thief,"$1,893,325 (estimated)",,6.5
6994,Amores Perros,"$2,000,000 (estimated)","$20,908,467",8.1
6995,Big Ass Spider!,,,5.3
6996,The Adventures of Tintin,"$135,000,000 (estimated)","$373,994,233",7.3
6997,Jersey Girl,"$35,000,000 (estimated)","$35,492,921",6.2
6998,The Talk of the Town,"$1,000,000 (estimated)",,7.5
6999,Half Past Dead,"$13,000,000 (estimated)","$19,233,280",4.6
7000,Black Knight,"$50,000,000 (estimated)","$39,976,235",4.9
7001,Mexican Bus Ride,,,6.9
7002,The Italian Job,"$60,000,000 (estimated)","$176,070,171",7.0
7003,The Ref,"$11,000,000 (estimated)","$11,439,193",6.9
7004,Red Cliff,"CN¥553,632,000 (estimated)","$129,710,514",7.3
7005,The Hive,,,5.2
7006,In a Year with 13 Moons,"DEM 700,000 (estimated)",,7.4
7007,The Adventures of Pinocchio,"$25,000,000 (estimated)","$15,094,530",5.2
7008,27 Dresses,"$30,000,000 (estimated)","$162,655,351",6.1
7009,The Numbers Station,,"$383,488",5.6
7010,Reversal of Fortune,,"$15,445,131",7.2
7011,Rambo: First Blood Part II,"$44,000,000 (estimated)","$300,400,432",6.5
7012,Captivating the King (TV Series ,,,7.8
7013,Venom: The Last Dance,,,
7014,Polyester,"$300,000 (estimated)","$4,099",7.0
7015,The Belly of an Architect,,,6.9
7016,Murder on the Orient Express,"$55,000,000 (estimated)","$352,794,081",6.5
7017,The Twilight Saga: Eclipse,"$68,000,000 (estimated)","$698,513,085",5.1
7018,Undisputed 4: Boyka (Vide,,"$413,334",6.9
7019,Private Lessons,"$2,800,000 (estimated)","$26,279,000",5.1
7020,Harrison's Flowers,"$8,000,000 (estimated)","$3,033,646",7.0
7021,The Giant Claw,,,4.6
7022,The Bravados,,,7.0
7023,Double Dare (TV Series 198,,,7.4
7024,Infinity Chamber,,,6.2
7025,Life Is Beautiful,"$20,000,000 (estimated)","$230,099,013",8.6
7026,Female Agents,"€17,123,930 (estimated)","$9,274,983",6.7
7027,Love's Kitchen,,,5.3
7028,The Shock Doctrine,,"$61,496",7.6
7029,"Good Morning, Vietnam","$13,000,000 (estimated)","$123,922,578",7.3
7030,Paranormal Activity,"$15,000 (estimated)","$193,355,933",6.3
7031,A Night at the Roxbury,"$17,000,000 (estimated)","$30,331,740",6.2
7032,Our Brand Is Crisis,"$28,000,000 (estimated)","$9,002,261",6.1
7033,The Ugly Swans,,,6.9
7034,The Woman in Red,"$9,000,000 (estimated)","$25,349,388",5.9
7035,I Am Michael,,"$3,995",5.6
7036,Reclaim,,"$129,822",5.2
7037,Diary of a Wimpy Kid,"$15,000,000 (estimated)","$76,196,538",6.2
7038,45 Years,,"$14,430,249",7.1
7039,15 Minutes,"$60,000,000 (estimated)","$56,359,980",6.1
7040,Mr. and Mrs. Iyer,,,7.9
7041,Interview with the Vampire: The Vampire Chronicles,"$60,000,000 (estimated)","$223,664,608",7.5
7042,Journey 2: The Mysterious Island,"$79,000,000 (estimated)","$335,288,576",5.7
7043,Prozac Nation,"$9,000,000 (estimated)","$129,364",6.2
7044,Gamera 3: Revenge of Iris,,,7.1
7045,George and the Dragon,"$32,000,000 (estimated)","$47,636",5.6
7046,Cobra Kai (TV Series 201,,,8.5
7047,Patch Adams,"$90,000,000 (estimated)","$202,292,902",6.8
7048,The Forest (TV Mini Serie,,,7.2
7049,The Blood on Satan's Claw,"£82,000 (estimated)",,6.4
7050,Funny Games,,,7.5
7051,The Outlaw Josey Wales,"$3,700,000 (estimated)","$31,800,000",7.8
7052,Go for It,,,7.1
7053,Blood from the Mummy's Tomb,,,5.6
7054,Clue,"$15,000,000 (estimated)","$14,643,997",7.2
7055,Death Proof,,"$31,126,421",7.0
7056,Scarlet Street,"$1,202,007 (estimated)",,7.7
7057,The Light Between Oceans,"$20,000,000 (estimated)","$25,975,621",7.2
7058,The Incredible Hulk,"$150,000,000 (estimated)","$264,770,996",6.6
7059,What Keeps You Alive,,"$20,746",5.7
7060,There's a Girl in My Soup,,,5.7
7061,Humanoids from the Deep,,$160,5.7
7062,Life Is a Miracle,"$8,000,000 (estimated)","$5,363,574",7.5
7063,Love at First Bite,,"$43,885,000",6.1
7064,Smurfs: The Lost Village,"$60,000,000 (estimated)","$197,183,546",6.0
7065,Metropolis,"DEM 6,000,000 (estimated)","$1,349,711",8.3
7066,Monster Trucks,"$125,000,000 (estimated)","$64,493,915",5.7
7067,Warrior Queen,,,3.3
7068,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"$6,300,000 (estimated)","$51,167,572",7.0
7069,Aspen Extreme,"$14,000,000 (estimated)","$8,041,049",6.0
7070,Janis: Little Girl Blue,,"$1,683,166",7.4
7071,Not Easily Broken,"$5,000,000 (estimated)","$10,726,909",6.1
7072,Nea Marin miliardar,"ROL 3,702,000 (estimated)",,8.3
7073,Monte Walsh (TV Movi,,,7.1
7074,Scorched Earth,,,4.4
7075,Student of the Year,,"$10,113,993",5.3
7076,Memphis Belle,"$23,000,000 (estimated)","$27,441,977",6.9
7077,Ghosts of Mars,"$28,000,000 (estimated)","$14,010,832",4.9
7078,Margot at the Wedding,"$10,000,000 (estimated)","$2,900,219",6.0
7079,Lilo & Stitch,"$80,000,000 (estimated)","$273,147,061",7.3
7080,This Is It,"$60,000,000 (estimated)","$267,983,588",7.2
7081,Mounam Pesiyadhe,,,7.7
7082,"Girl, Interrupted","$40,000,000 (estimated)","$48,350,205",7.3
7083,Flirting with Disaster,"$7,000,000 (estimated)","$14,702,438",6.7
7084,The Dresser,"£1,456,000 (estimated)","$5,310,748",7.5
7085,Vanishing Point,"$1,585,000 (estimated)","$12,443,192",7.2
7086,Closed Circuit,"$15,000,000 (estimated)","$6,331,939",6.2
7087,House by the River,,,7.0
7088,The Night Watchmen,,,5.4
7089,Main Khiladi Tu Anari,,,6.5
7090,China Seas,"$1,138,000 (estimated)",,6.9
7091,Arizona Dream,"$19,000,000 (estimated)","$112,547",7.2
7092,Wolf Warrior 2,"$30,100,000 (estimated)","$870,325,439",5.9
7093,Ocean's Twelve,"$110,000,000 (estimated)","$362,744,280",6.5
7094,Light Sleeper,"$5,000,000 (estimated)","$1,055,987",6.9
7095,What's Eating Gilbert Grape,"$11,000,000 (estimated)","$10,032,765",7.7
7096,Queen Christina,"$1,114,000 (estimated)",,7.5
7097,Out of the Past,,,8.0
7098,Peggy Sue Got Married,"$18,000,000 (estimated)","$41,382,841",6.4
7099,Damnation Alley,"$7,200,000 (estimated)",,5.2
7100,Side Effects,"$30,000,000 (estimated)","$63,414,135",7.1
7101,A Round of Applause (TV Series ,,,7.4
7102,Errors of the Human Body,"€1,500,000 (estimated)","$1,984",5.2
7103,Home Alone,"$18,000,000 (estimated)","$476,684,675",7.7
7104,Teenage Mutant Ninja Turtles III,"$21,000,000 (estimated)","$42,273,609",4.8
7105,Private Popsicle,,,5.3
7106,How to Be a Latin Lover,"$10,000,000 (estimated)","$62,547,032",6.0
7107,My Geisha,,,6.5
7108,Motorway Cops: Catching Britain's Speeders (TV Series ,,,6.5
7109,Audrey Rose,,,5.8
7110,Children Who Chase Lost Voices,,"$600,486",7.1
7111,The Gnome-Mobile,,,6.4
7112,In the Land of Blood and Honey,"$13,000,000 (estimated)","$1,203,699",4.7
7113,The Apple Dumpling Gang Rides Again,"$5,450,000 (estimated)","$20,931,111",6.0
7114,Spy School,"$3,000,000 (estimated)",,4.5
7115,The Steam Experiment,"$7,000,000 (estimated)",,3.9
7116,Bullets Over Broadway,"$20,000,000 (estimated)","$13,383,747",7.4
7117,Jigsaw,"$10,000,000 (estimated)","$102,952,888",5.7
7118,"Play It Again, Sam",,"$15,413",7.6
7119,Mr. Sardonicus,,,6.6
7120,Clean Slate,,"$11,527",7.4
7121,Pauline at the Beach,,$551,7.3
7122,Buddy Goes West,,,6.5
7123,Tucker and Dale vs Evil,,"$5,224,938",7.5
7124,Can You Ever Forgive Me?,"$10,000,000 (estimated)","$12,442,161",7.1
7125,The Departed,"$90,000,000 (estimated)","$291,481,358",8.5
7126,Body Shots,,"$752,122",4.9
7127,The Messenger: The Story of Joan of Arc,"$85,000,000 (estimated)","$66,976,317",6.4
7128,The Stalking Moon,,,6.6
7129,Murari,,,7.8
7130,L'Avventura,,"$2,606",7.7
7131,The Double Life of My Billionaire Husband (TV Mini Series ,,,6.2
7132,8 Women,"€8,000,000 (estimated)","$42,426,583",7.0
7133,Death Bell,,"$9,512,698",5.5
7134,Ink Master (TV Series ,,,7.4
7135,I Killed My Mother,"CA$800,000 (estimated)",,7.4
7136,Pirates of the Caribbean: At World's End,"$300,000,000 (estimated)","$961,691,209",7.1
7137,Before I Go to Sleep,"$22,000,000 (estimated)","$17,669,776",6.3
7138,The Devil's Backbone,"$4,500,000 (estimated)","$6,582,065",7.4
7139,Multiplex Entertainment (Podcast Series ,,,
7140,Bambola,,,4.5
7141,Death Wish 3,"$9,000,000 (estimated)","$16,116,878",5.8
7142,The Lower Depths,,,7.2
7143,Barbie in the Pink Shoes,,,5.6
7144,Maudie,"€4,993,020 (estimated)","$11,534,327",7.6
7145,Dark Angel (TV Series 200,,,7.3
7146,Athidhi,,,5.5
7147,A Love Story,,"$169,374",7.3
7148,Atlantis: The Lost Empire,"$120,000,000 (estimated)","$186,053,725",6.9
7149,The Assignment,"$5,000,000 (estimated)","$388,789",4.7
7150,Clash of the Titans,"$125,000,000 (estimated)","$493,214,993",5.8
7151,She Done Him Wrong,"$200,000 (estimated)",,6.3
7152,Night at the Museum,"$110,000,000 (estimated)","$574,482,479",6.5
7153,Lover Come Back,,,7.1
7154,The Sword and the Sorcerer,,"$39,103,425",5.5
7155,I Am a Sex Addict,,"$120,790",6.0
7156,Scenes from a Marriage (TV Mini Serie,,,8.1
7157,Edge of Darkness,"$80,000,000 (estimated)","$81,126,522",6.6
7158,Peter's Friends,"$5,000,000 (estimated)","$4,058,564",7.0
7159,Extraterrestrial,"$3,000,000 (estimated)","$121,994",5.0
7160,Blood Diamond,"$100,000,000 (estimated)","$171,720,398",8.0
7161,Herbie Rides Again,,"$38,229,000",5.7
7162,Stealing Harvard,"$25,000,000 (estimated)","$14,277,032",5.1
7163,Tumbledown,,"$282,083",6.2
7164,Resident Alien (TV Series ,,,8.1
7165,A Shine of Rainbows,"CA$6,000,000 (estimated)",,7.1
7166,Chernobyl Diaries,"$1,000,000 (estimated)","$38,390,020",5.0
7167,Demolition Man,"$57,000,000 (estimated)","$58,056,466",6.7
7168,An Invisible Sign,,"$51,138",5.3
7169,End of Days,"$100,000,000 (estimated)","$211,989,043",5.8
7170,A Little Romance,"$3,000,000 (estimated)",,7.4
7171,Last Kind Words,,,4.8
7172,Silent Night,"$30,000,000 (estimated)","$11,067,228",5.3
7173,When in Rome,"$55,000,000 (estimated)","$43,053,376",5.5
7174,Rec 2 (Shor,,,3.8
7175,The Other Side of the Bed,,"$13,496,458",6.4
7176,Demon Slayer: Kimetsu no Yaiba (TV Series ,,,8.6
7177,Bon Cop Bad Cop 2,,,6.6
7178,Kerala Varma Pazhassi Raja,"₹270,000,000 (estimated)",,7.6
7179,Mutant Action,"$2,500,000 (estimated)",,6.4
7180,The Expendables 4,"$100,000,000 (estimated)","$37,917,985",4.8
7181,Mr. Holmes,"$11,000,000 (estimated)","$29,355,203",6.8
7182,The Great McGinty,"$350,000 (estimated)",,7.3
7183,Extraction II,,,7.0
7184,Frankenstein Meets the Wolf Man,,,6.4
7185,To the Wonder,,"$2,801,166",5.8
7186,Romper Stomper,,"$175,340",6.8
7187,Oohalu Gusagusalade,,,7.6
7188,Zero Motivation,,"$138,609",7.2
7189,8 Heads in a Duffel Bag,"$3,000,000 (estimated)","$3,602,884",5.4
7190,Popstar: Never Stop Never Stopping,"$20,000,000 (estimated)","$9,680,029",6.7
7191,Bonjour Tristesse,,$259,6.9
7192,Flodder 3,,,5.5
7193,Frankenstein's Army,,,5.4
7194,Kandukondain Kandukondain,,,7.6
7195,Postcards from the Edge,"$22,000,000 (estimated)","$39,071,603",6.7
7196,The Mass Is Ended,,"$4,001",7.2
7197,The Quiet Earth,"$1,000,000 (estimated)","$2,123,562",6.7
7198,Barricade,,,4.4
7199,Koko Flanel,,,6.2
7200,French Fried Vacation 2,,,7.4
7201,National Treasure: Book of Secrets,"$130,000,000 (estimated)","$459,242,249",6.5
7202,3 Nights in the Desert,,"$1,297",4.6
7203,Strange Magic,,"$13,603,453",5.7
7204,Jailhouse Rock,"$400,000 (estimated)",$402,6.5
7205,Tight Spot,,,6.6
7206,The Mystery of the Yellow Room,"€5,300,000 (estimated)","$5,814,320",6.3
7207,Containment (TV Serie,,,7.1
7208,The Taming of The Shrew,"$4,000,000 (estimated)",,7.1
7209,The Hobbit: The Battle of the Five Armies,"$250,000,000 (estimated)","$962,253,946",7.4
7210,Colonia,"$14,000,000 (estimated)","$3,621,046",7.0
7211,Ghilli,"₹20,000,000 (estimated)","$23,549",8.1
7212,Hate Story 3,,"$5,571,064",4.6
7213,Suffragette,"$14,000,000 (estimated)","$31,972,096",6.9
7214,Exit Through the Gift Shop,,"$5,386,242",7.9
7215,Saving Sarah Cain,"$2,349,352 (estimated)",,6.0
7216,Forever My Girl,"$3,500,000 (estimated)","$16,376,066",6.6
7217,Two Moon Junction,,"$1,547,397",5.0
7218,Full of It,,"$859,513",5.5
7219,The Green Prince,,"$339,208",7.2
7220,The Exorcist: Believer,"$30,000,000 (estimated)","$136,284,218",4.8
7221,Passion Play,"$8,000,000 (estimated)","$25,603",4.5
7222,The Wicker Man,"$810,000 (estimated)","$528,514",7.5
7223,The Mortal Instruments: City of Bones,"$60,000,000 (estimated)","$95,396,573",5.8
7224,Project Nim,,"$612,839",7.4
7225,Mona Lisa Smile,"$65,000,000 (estimated)","$141,337,989",6.5
7226,Heavenly Creatures,"$5,000,000 (estimated)","$3,049,950",7.3
7227,Frequency,"$31,000,000 (estimated)","$68,106,245",7.4
7228,The Serpent's Egg,"DEM 12,000,000 (estimated)","$39,238",6.6
7229,Glengarry Glen Ross,"$12,500,000 (estimated)","$10,726,612",7.7
7230,Travels with My Aunt,"$3,200,000 (estimated)",,6.3
7231,Wristcutters: A Love Story,"$1,000,000 (estimated)","$454,026",7.2
7232,Rocco and His Brothers,,"$11,328",8.2
7233,Parenthood (TV Series 201,,,8.3
7234,When Strangers Appear,"NZ$3,000,000 (estimated)",,6.3
7235,Bombay Talkies,"₹60,000,000 (estimated)","$1,789,657",6.6
7236,Harry Potter and the Chamber of Secrets,"$100,000,000 (estimated)","$882,544,885",7.4
7237,The World's Fastest Indian,"$25,000,000 (estimated)","$18,302,013",7.8
7238,The Dressmaker,"A$17,000,000 (estimated)","$23,846,928",7.0
7239,For Richer or Poorer,"$35,000,000 (estimated)","$32,748,995",5.8
7240,The Sacrifice,,"$167,623",7.9
7241,Body Count,,,4.8
7242,An American Crime,"$2,000,000 (estimated)","$1,306,875",7.2
7243,Torso,,,6.5
7244,The Pope of Greenwich Village,"$8,000,000 (estimated)","$6,836,201",6.6
7245,Some Kind of Beautiful,,"$2,446,097",5.7
7246,The Boondock Saints II: All Saints Day,"$8,000,000 (estimated)","$10,629,321",6.2
7247,Dead Ringers,"$13,000,000 (estimated)","$8,038,508",7.2
7248,Guardians of the Galaxy Vol. 3,"$250,000,000 (estimated)","$845,555,777",7.9
7249,Paperback Hero,,,6.4
7250,The Boy and the Beast,,"$49,781,599",7.6
7251,BTS: Bon Voyage (TV Series ,,,9.4
7252,Limbo,,"$253,741",6.1
7253,Halloween: Resurrection,"$13,000,000 (estimated)","$37,664,855",3.9
7254,Scott Pilgrim Takes Off (TV Mini Serie,,,7.7
7255,Heads o,,,
7256,People Places Things,,"$177,338",6.8
7257,Vision Quest,,"$12,993,175",6.7
7258,Lowriders,"$5,000,000 (estimated)","$6,312,033",5.7
7259,A Man Escaped,,,8.2
7260,Open Water 2: Adrift,"€1,200,000 (estimated)","$6,816,129",5.2
7261,Moebius,,"$11,563",6.4
7262,The Last Wagon,"$1,670,000 (estimated)",,7.0
7263,All About the Benjamins,"$15,000,000 (estimated)","$26,306,533",5.8
7264,Sinbad: Legend of the Seven Seas,"$60,000,000 (estimated)","$80,773,077",6.7
7265,Masaan,,"$651,748",8.1
7266,The Breaking Point,,,7.5
7267,The Interrogation of Michael Crowe (TV Movi,,,6.8
7268,Fire in the Sky,"$15,000,000 (estimated)","$19,885,552",6.5
7269,Dragon Ball: Sleeping Princess in Devil's Castle,,"$9,195,434",6.6
7270,The Other Guys,"$100,000,000 (estimated)","$170,458,922",6.6
7271,Zapped!,,"$16,897,768",4.9
7272,Six Degrees of Celebration,"$3,000,000 (estimated)","$25,030,264",6.2
7273,The Back-up Plan,"$35,000,000 (estimated)","$77,477,008",5.3
7274,Amanda Knox,,$397,6.9
7275,Dark Matter (TV Series ,,,
7276,Tron: Ares,,,
7277,The Adventures of Picasso,"SEK 7,000,000 (estimated)",,7.4
7278,My Fellow Americans,"$21,500,000 (estimated)","$22,313,201",6.5
7279,The Streets of San Francisco (TV Series 197,,,7.3
7280,My Little Princess,,"$136,555",6.3
7281,Lucy,"$40,000,000 (estimated)","$469,058,574",6.4
7282,Kaho Naa... Pyaar Hai,"₹140,000,000 (estimated)",,6.9
7283,Everyone's Hero,"$35,000,000 (estimated)","$16,627,188",5.7
7284,The Salt of the Earth,,"$5,412,466",8.4
7285,A miniszter félrelép,,,6.7
7286,That Hamilton Woman,,,7.2
7287,Tracers,"$11,000,000 (estimated)","$3,340,503",5.6
7288,Ever After: A Cinderella Story,"$26,000,000 (estimated)","$98,005,666",7.1
7289,Halloween: The Curse of Michael Myers,"$5,000,000 (estimated)","$15,116,634",4.7
7290,Ghost in the Shell: Arise - Border 1: Ghost Pain,,,7.1
7291,1492: Conquest of Paradise,"$47,000,000 (estimated)","$7,191,399",6.4
7292,Jersey Shore Massacre,"$1,400,000 (estimated)",,2.9
7293,The Adventures of Sharkboy and Lavagirl 3-D,"$50,000,000 (estimated)","$71,992,655",3.7
7294,The Tigger Movie,"$30,000,000 (estimated)","$96,159,800",6.3
7295,Peggy Sue Got Married,"$18,000,000 (estimated)","$41,382,841",6.4
7296,Now You See Me,"$75,000,000 (estimated)","$351,723,989",7.2
7297,Socha Na Tha,,,7.4
7298,Beast of Burden,,"$52,976",3.6
7299,Starred Up,,"$3,025,189",7.3
7300,Night and the City,,"$43,024",7.9
7301,Bride of Frankenstein,"$397,024 (estimated)","$10,493",7.8
7302,Cat Run 2,,,4.3
7303,Anand,"₹3,000,000 (estimated)",,8.1
7304,Magic in the Moonlight,"$16,800,000 (estimated)","$51,029,361",6.5
7305,Frances Ha,,"$9,019,618",7.4
7306,Deep Impact,"$75,000,000 (estimated)","$349,464,664",6.2
7307,Person to Person,,"$48,499",5.7
7308,Idealisten,,"$372,897",6.9
7309,The Wizard of Oz,"$2,777,000 (estimated)","$25,637,669",8.1
7310,Colossus: The Forbin Project,,,7.1
7311,Legion (TV Series 201,,,8.1
7312,Make the Yuletide Gay,,,6.5
7313,Knocked Up,"$30,000,000 (estimated)","$219,922,417",6.9
7314,The Huntsman: Winter's War,"$115,000,000 (estimated)","$164,989,338",6.1
7315,Planta 4ª,,"$6,017,161",6.9
7316,5lbs of Pressure,,,5.2
7317,Azhagiya Tamilmagan,"₹100,000,000 (estimated)","$1,043,064",5.1
7318,What If...? (TV Series ,,,7.4
7319,Earth vs. the Flying Saucers,,,6.3
7320,Berlin Calling,,"$598,894",7.2
7321,The Girl in the Park,,"$108,747",6.3
7322,Sluzhebnyy roman. Nashe vremya,"$5,000,000 (estimated)","$14,823,830",5.0
7323,The Quiet Duel,,,7.4
7324,You Can't Cheat an Honest Man,,,6.9
7325,Ready Player One,"$175,000,000 (estimated)","$607,874,422",7.4
7326,Jalsa,"₹450,000,000 (estimated)",,7.4
7327,Flipper (TV Series 196,,,6.3
7328,Final Analysis,"$32,000,000 (estimated)","$28,590,665",5.9
7329,Mara,"$5,000,000 (estimated)","$666,428",5.1
7330,Late Night with the Devil,,"$10,717,039",7.2
